School_ID,Short_Name,Long_Name,School_Type,School_Latitude,School_Longitude,Website,Creative_School_Certification
609899,EBINGER,Christian Ebinger Elementary School,Neighborhood,42.004408,-87.81117,https://ebingerschool.org,STRONG
400052,NOBLE - COMER,Noble - Gary Comer College Prep,Charter,41.764083,-87.601974,https://nobleschools.org/comer,DEVELOPING
609855,CHRISTOPHER,Walter S Christopher Elementary School,Neighborhood,41.801659,-87.685607,https://www.christopherschool.org,EXCELLING
610039,VON LINNE,Carl von Linne Elementary School,Neighborhood,41.940009,-87.702635,https://www.linneschool.org,EXCELLING
610116,PARKSIDE,Parkside Elementary Community Academy,Neighborhood,41.768555,-87.582954,https://parksideacademy.org,EXCELLING
610199,COLEMON,Johnnie Colemon Elementary Academy,Neighborhood,41.677505,-87.658111,https://colemon.cps.edu,EXCELLING
609854,CHOPIN,Frederic Chopin Elementary School,Neighborhood,41.896713,-87.688937,https://chopin.cps.edu,EXCELLING
400081,ACERO - DE LAS CASAS,Acero Charter Schools - Bartolomé de las Casas,Charter,41.859504,-87.667949,http://bc.aceroschools.org,STRONG
400082,ACERO - FUENTES,Acero Charter Schools - Carlos Fuentes,Charter,41.937476,-87.699594,http://cf.aceroschools.org,STRONG
610543,SOLORIO HS,Eric Solorio Academy High School,Neighborhood,41.795201,-87.711059,https://solorioacademy.org,EXCELLING
609832,BYRNE,Michael M Byrne Elementary School,Neighborhood,41.795031,-87.791544,https://byrnecps.org,STRONG
609876,DAVIS N,Nathan S Davis Elementary School,Neighborhood,41.821852,-87.700202,http://nathansdavis.cps.edu,DEVELOPING
609844,CARTER,William W Carter Elementary School,Neighborhood,41.789828,-87.622453,https://cartersoe.cps.edu,DEVELOPING
400147,CHICAGO EXCEL HS,Chicago Excel Academy HS,Citywide-Option,41.691953,-87.654248,https://sesischools.com/locations/excel-academy-of-roseland,INCOMPLETE DATA
400161,CHICAGO COLLEGIATE,Chicago Collegiate Charter School,Charter,41.679318,-87.617968,https://chicagocollegiate.org,EMERGING
610110,WELLS ES,Ida B Wells Preparatory Elementary Academy,Small,41.827355,-87.61978,http://wellsprepelementary.com,DEVELOPING
609754,CHICAGO MILITARY HS,Chicago Military Academy High School,Military academy,41.830555,-87.619216,https://chicagomilitaryacademy.org,STRONG
609997,HOLMES,Oliver Wendell Holmes Elementary School,Neighborhood,41.793788,-87.649795,http://owholmes.cps.edu,EXCELLING
400028,CICS - PRAIRIE,CICS - Prairie,Charter,41.684433,-87.616888,https://www.cicsprairie.org,STRONG
610051,NORTHWEST,Northwest Middle School,Neighborhood,41.920555,-87.757854,https://northwest.cps.edu,EXCELLING
610148,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES,Neighborhood,41.807143,-87.666037,https://chavez.cps.edu,EXCELLING
400181,ART IN MOTION,Art in Motion Charter School,Charter,41.760034,-87.583328,https://www.aimchicago.org,EXCELLING
610561,CRANE MEDICAL HS,Richard T Crane Medical Preparatory HS,Magnet,41.876947,-87.683301,https://newcranemedicalprep.org,DEVELOPING
609902,METCALFE,Ralph H Metcalfe Elementary Community Academy,Neighborhood,41.669444,-87.634306,https://metcalfe.cps.edu,INCOMPLETE DATA
610056,MASON,Roswell B Mason Elementary School,Small,41.856864,-87.731672,https://www.masonelementary.org,EXCELLING
610015,JUNGMAN,Joseph Jungman Elementary School,Neighborhood,41.858065,-87.652302,https://www.jungmanstem.org,EXCELLING
610362,EVERS,Medgar Evers Elementary School,Neighborhood,41.715665,-87.639305,https://www.evers.cps.edu,EXCELLING
610237,BEETHOVEN,Ludwig Van Beethoven Elementary School,Neighborhood,41.809135,-87.627137,https://www.beethovenelementarycps.org/,STRONG
609794,EDISON,Thomas A Edison Regional Gifted Center ES,Regional gifted center,41.971506,-87.709304,https://edisongifted.com,EXCELLING
609958,GUNSAULUS,Frank W Gunsaulus Elementary Scholastic Academy,Magnet,41.813007,-87.699364,https://gunsaulus.org,EXCELLING
609792,BATEMAN,Newton Bateman Elementary School,Neighborhood,41.95822,-87.702151,http://bateman.cps.edu,STRONG
609947,GRAHAM ES,Alexander Graham Elementary School,Neighborhood,41.813304,-87.643344,https://grahames.org,DEVELOPING
610138,PULASKI,Pulaski International School of Chicago,Neighborhood,41.918486,-87.683801,http://www.pulaskischool.org,STRONG
400126,YCCS - ASSOCIATION HOUSE,YCCS-Association House HS,Charter,41.901572,-87.70686,https://associationhouse.org,DEVELOPING
400022,CHIARTS HS,Chicago High School for the Arts (ChiArts),Contract,41.899377,-87.694945,https://chiarts.org,EXCELLING
609862,COLES,Edward Coles Elementary Language Academy,Neighborhood,41.741413,-87.56597,https://colesacademy.cps.edu,EMERGING
400172,ASPIRA - BUSINESS & FINANCE HS,ASPIRA Business and Finance,Charter,41.935726,-87.718204,https://abfhs.aspirail.org,EXCELLING
610002,HOYNE,Thomas Hoyne Elementary School,Neighborhood,41.733338,-87.568228,https://thomashoyne.org,STRONG
400053,NOBLE - GOLDER HS,Noble - Golder College Prep,Charter,41.895282,-87.664483,https://nobleschools.org/golder,INCOMPLETE DATA
609829,BURROUGHS,John C Burroughs Elementary School,Neighborhood,41.828868,-87.692457,http://burroughs.cps.edu,DEVELOPING
609875,DARWIN,Charles R Darwin Elementary School,Neighborhood,41.923323,-87.705413,https://www.darwin.cps.edu,EXCELLING
610005,HUGHES C,Charles Evans Hughes Elementary School,Neighborhood,41.860518,-87.731777,https://hughesce.cps.edu,DEVELOPING
610384,INFINITY HS,Infinity Math Science and Technology High School,Small,41.836169,-87.735278,https://www.infinityhs.org,STRONG
400168,GREAT LAKES,Great Lakes Academy Charter School,Charter,41.742671,-87.559907,http://www.glachicago.org/,EMERGING
400076,U OF C - NKO,University of Chicago - North Kenwood/Oakland,Charter,41.811183,-87.598786,https://www.uchicagocharter.org,STRONG
610024,CARDENAS,Lazaro Cardenas Elementary School,Neighborhood,41.848488,-87.716017,https://cardenas.cps.edu,STRONG
609951,ARIEL,Ariel Elementary Community Academy,Small,41.811173,-87.597503,https://arielcommunityacademy.cps.edu,INCOMPLETE DATA
609821,BURNHAM,Burnham Elementary Inclusive Academy,Neighborhood,41.714402,-87.567131,https://cps.edu/burnham,DEVELOPING
609885,DEWEY,Dewey Elementary Academy of Fine Arts,Neighborhood,41.795646,-87.642652,https://deweysoe.org,EMERGING
609909,EVERETT,Edward Everett Elementary School,Neighborhood,41.831555,-87.68131,https://everett.cps.edu,EMERGING
609725,MORGAN PARK HS,Morgan Park High School,Neighborhood,41.692035,-87.665658,https://morganparkcps.org,EXCELLING
609985,HEFFERAN,Helen M Hefferan Elementary School,Neighborhood,41.878665,-87.735802,https://hefferan.cps.edu,INCOMPLETE DATA
610173,SHERWOOD,Jesse Sherwood Elementary School,Neighborhood,41.7908,-87.632279,https://sherwood.cps.edu,EXCELLING
610317,BRIGHTON PARK,Brighton Park Elementary School,Neighborhood,41.8239,-87.692077,http://brightonpark.cps.edu/,EXCELLING
610089,MURPHY,John B Murphy Elementary School,Neighborhood,41.950078,-87.716832,http://www.murphy.cps.edu/,EXCELLING
