Zipcode,Unemployed,people who prefered to walk,Mean travel time to work (minutes),Mean household income (dollars),Per capita income (dollars),Employed and With private health insurance,,,,,,,,,,,,,,,,,,,,,
Estimate,"2,386","1,765",35.5,"98,340","55,871","33,995",,,,,,,,,,,,,,,,,,,,,
Percent,4.0%,4.2%,N/A,N/A,N/A,83.5%,,,,,,,,,,,,,,,,,,,,,
60641,"2,325",560,37.9,"107,988","41,054","26,024",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,325",560,37.9,"107,988","41,054","26,024",,,,,,,,,,,,,,,,,,,,,
Percent,4.3%,1.6%,N/A,N/A,N/A,76.2%,,,,,,,,,,,,,,,,,,,,,
60642,684,"1,408",26.4,"171,898","93,645","14,413",,,,,,,,,,,,,,,,,,,,,
Estimate,684,"1,408",26.4,"171,898","93,645","14,413",,,,,,,,,,,,,,,,,,,,,
Percent,3.5%,9.0%,N/A,N/A,N/A,94.6%,,,,,,,,,,,,,,,,,,,,,
60643,"2,109",327,35.3,"115,834","45,015","15,949",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,109",327,35.3,"115,834","45,015","15,949",,,,,,,,,,,,,,,,,,,,,
Percent,5.6%,1.6%,N/A,N/A,N/A,84.0%,,,,,,,,,,,,,,,,,,,,,
60644,"4,092",428,37.9,"54,134","21,488","9,272",,,,,,,,,,,,,,,,,,,,,
Estimate,"4,092",428,37.9,"54,134","21,488","9,272",,,,,,,,,,,,,,,,,,,,,
Percent,11.2%,2.5%,N/A,N/A,N/A,58.8%,,,,,,,,,,,,,,,,,,,,,
60645,"1,661",874,32.8,"106,792","37,968","13,429",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,661",874,32.8,"106,792","37,968","13,429",,,,,,,,,,,,,,,,,,,,,
Percent,4.7%,4.2%,N/A,N/A,N/A,68.2%,,,,,,,,,,,,,,,,,,,,,
60646,535,508,32.5,"158,167","61,919","11,224",,,,,,,,,,,,,,,,,,,,,
Estimate,535,508,32.5,"158,167","61,919","11,224",,,,,,,,,,,,,,,,,,,,,
Percent,2.3%,3.8%,N/A,N/A,N/A,90.1%,,,,,,,,,,,,,,,,,,,,,
60647,"2,365","1,343",33.1,"144,749","65,709","46,941",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,365","1,343",33.1,"144,749","65,709","46,941",,,,,,,,,,,,,,,,,,,,,
Percent,3.3%,2.5%,N/A,N/A,N/A,87.7%,,,,,,,,,,,,,,,,,,,,,
60649,"3,591",377,38.7,"59,220","30,388","13,548",,,,,,,,,,,,,,,,,,,,,
Estimate,"3,591",377,38.7,"59,220","30,388","13,548",,,,,,,,,,,,,,,,,,,,,
Percent,9.2%,1.8%,N/A,N/A,N/A,67.9%,,,,,,,,,,,,,,,,,,,,,
60651,"3,488",688,35.4,"74,084","24,907","15,302",,,,,,,,,,,,,,,,,,,,,
Estimate,"3,488",688,35.4,"74,084","24,907","15,302",,,,,,,,,,,,,,,,,,,,,
Percent,7.1%,2.7%,N/A,N/A,N/A,61.9%,,,,,,,,,,,,,,,,,,,,,
60652,"1,999",184,37.7,"92,225","30,544","13,531",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,999",184,37.7,"92,225","30,544","13,531",,,,,,,,,,,,,,,,,,,,,
Percent,6.0%,1.0%,N/A,N/A,N/A,75.9%,,,,,,,,,,,,,,,,,,,,,
60653,"2,656",312,30.8,"77,735","38,289","10,437",,,,,,,,,,,,,,,,,,,,,
Estimate,"2,656",312,30.8,"77,735","38,289","10,437",,,,,,,,,,,,,,,,,,,,,
Percent,9.8%,2.4%,N/A,N/A,N/A,80.7%,,,,,,,,,,,,,,,,,,,,,
60654,561,"6,354",24.5,"191,912","126,356","18,087",,,,,,,,,,,,,,,,,,,,,
Estimate,561,"6,354",24.5,"191,912","126,356","18,087",,,,,,,,,,,,,,,,,,,,,
Percent,2.4%,33.3%,N/A,N/A,N/A,97.1%,,,,,,,,,,,,,,,,,,,,,
60655,622,144,31.6,"136,585","53,557","12,458",,,,,,,,,,,,,,,,,,,,,
Estimate,622,144,31.6,"136,585","53,557","12,458",,,,,,,,,,,,,,,,,,,,,
Percent,2.9%,1.1%,N/A,N/A,N/A,96.0%,,,,,,,,,,,,,,,,,,,,,
60656,754,195,31.2,"111,329","49,274","11,330",,,,,,,,,,,,,,,,,,,,,
Estimate,754,195,31.2,"111,329","49,274","11,330",,,,,,,,,,,,,,,,,,,,,
Percent,3.2%,1.3%,N/A,N/A,N/A,80.4%,,,,,,,,,,,,,,,,,,,,,
60657,"1,777","2,448",33.1,"169,785","94,745","46,397",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,777","2,448",33.1,"169,785","94,745","46,397",,,,,,,,,,,,,,,,,,,,,
Percent,2.8%,4.9%,N/A,N/A,N/A,95.4%,,,,,,,,,,,,,,,,,,,,,
60659,"1,384",656,30.5,"92,062","30,015","11,075",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,384",656,30.5,"92,062","30,015","11,075",,,,,,,,,,,,,,,,,,,,,
Percent,4.3%,3.8%,N/A,N/A,N/A,66.1%,,,,,,,,,,,,,,,,,,,,,
60660,"1,630","1,508",35.9,"96,921","49,474","18,888",,,,,,,,,,,,,,,,,,,,,
Estimate,"1,630","1,508",35.9,"96,921","49,474","18,888",,,,,,,,,,,,,,,,,,,,,
Percent,4.2%,6.2%,N/A,N/A,N/A,79.4%,,,,,,,,,,,,,,,,,,,,,
60661,379,"2,653",24.9,"176,904","116,294","8,854",,,,,,,,,,,,,,,,,,,,,
Estimate,379,"2,653",24.9,"176,904","116,294","8,854",,,,,,,,,,,,,,,,,,,,,
Percent,3.5%,29.1%,N/A,N/A,N/A,98.1%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
